ID,NAME,MAX,MIN,DIFF,PERCENTAGE
15101, Dessau,17.2,17.0,0.2,1.16
15355, Bördekreis,15.8,15.6,0.2,1.27
15260, Mansfelder Land,22.2,21.8,0.4,1.80
15159, Köthen,20.2,19.8,0.4,1.98
15268, Weißenfels,21.1,20.4,0.7,3.32
13075, Vorpommern-Greifswald,12.6,12.1,0.5,3.97
15171, Wittenberg,18.4,17.6,0.8,4.35
15266, Sangerhausen,22.4,21.4,1.0,4.46
15363, Stendal,21.9,20.7,1.2,5.48
15256, Burgenlandkreis,21.5,20.2,1.3,6.05
15303, Magdeburg,19.7,18.4,1.3,6.60
15362, Ohrekreis,13.0,12.1,0.9,6.92
13071, Mecklenburgische Seenplatte,12.7,11.8,0.9,7.09
13073, Vorpommern-Rügen,11.2,10.4,0.8,7.14
15370, Altmarkkreis Salzwedel,16.3,15.1,1.2,7.36
15367, Schönebeck,18.6,17.2,1.4,7.53
14263, Görlitz,23.6,21.6,2.0,8.47
15352, Aschersleben-Staßfurt,22.5,20.3,2.2,9.78
14286, Löbau-Zittau,19.0,17.1,1.9,10.00
15357, Halberstadt,19.3,17.3,2.0,10.36
13076, Ludwigslust-Parchim,8.5,7.6,0.9,10.59
15364, Quedlinburg,21.3,18.8,2.5,11.74
15202, Halle (Saale),18.9,16.6,2.3,12.17
15154, Bitterfeld,18.7,16.4,2.3,12.30
15358, Jerichower Land,16.7,14.3,2.4,14.37
15261, Merseburg-Querfurt,20.1,17.2,2.9,14.43
14284, Niederschles. Oberlausitzkreis,19.5,16.6,2.9,14.87
14166, Plauen,16.2,13.7,2.5,15.43
15153, Bernburg,19.7,16.6,3.1,15.74
14161, Chemnitz,17.3,14.5,2.8,16.18
14262, Dresden,15.0,12.5,2.5,16.67
7317, Pirmasens,15.1,12.5,2.6,17.22
13072, Landkreis Rostock,9.2,7.6,1.6,17.39
14193, Zwickauer Land,16.5,13.6,2.9,17.58
14191, Aue-Schwarzenberg,17.5,14.4,3.1,17.71
14171, Annaberg,15.8,13.0,2.8,17.72
14173, Chemnitzer Land,16.3,13.4,2.9,17.79
14188, Stollberg,14.7,12.0,2.7,18.37
14292, Kamenz,13.6,11.1,2.5,18.38
14365, Leipzig,20.6,16.8,3.8,18.45
15265, Saalkreis,14.0,11.4,2.6,18.57
14272, Bautzen,18.5,15.0,3.5,18.92
14167, Zwickau,19.3,15.6,3.7,19.17
14389, Torgau-Oschatz,17.6,14.1,3.5,19.89
14264, Hoyerswerda,23.5,18.8,4.7,20.00
13074, Nordwestmecklenburg,10.4,8.3,2.1,20.19
14290, Weißeritzkreis,14.1,11.2,2.9,20.57
5114, Krefeld,13.1,10.4,2.7,20.61
14383, Muldentalkreis,17.5,13.8,3.7,21.14
14627, Meißen,11.0,8.6,2.4,21.82
15369, Wernigerode,14.9,11.6,3.3,22.15
14374, Delitzsch,18.5,14.3,4.2,22.70
14285, Riesa-Großenhain,18.9,14.5,4.4,23.28
7312, Kaiserslautern,13.0,9.9,3.1,23.85
5119, Oberhausen,15.0,11.4,3.6,24.00
15086, Jerichower Land,11.9,9.0,2.9,24.37
14178, Vogtlandkreis,14.7,11.1,3.6,24.49
14181, Mittlerer Erzgebirgskreis,16.2,12.2,4.0,24.69
1059, Schleswig-Flensburg,9.3,7.0,2.3,24.73
5562, Recklinghausen,13.7,10.3,3.4,24.82
14730, Nordsachsen,12.4,9.3,3.1,25.00
14375, Döbeln,19.2,14.4,4.8,25.00
13006, Wismar,19.1,14.3,4.8,25.13
5122, Solingen,10.3,7.7,2.6,25.24
15151, Anhalt-Zerbst,20.4,15.1,5.3,25.98
15003, Magdeburg,14.7,10.8,3.9,26.53
5313, Aachen,14.3,10.5,3.8,26.57
14182, Mittweida,17.3,12.7,4.6,26.59
14379, Leipziger Land,19.4,14.1,5.3,27.32
15001, Dessau-Roßlau,15.0,10.9,4.1,27.33
5113, Essen,16.4,11.9,4.5,27.44
14287, Sächsische Schweiz,16.6,12.0,4.6,27.71
5158, Mettmann,9.0,6.5,2.5,27.78
14511, Chemnitz,12.9,9.3,3.6,27.91
5914, Hagen,13.5,9.7,3.8,28.15
5116, Mönchengladbach,15.1,10.8,4.3,28.48
14177, Freiberg,15.8,11.3,4.5,28.48
10041, Stadtverband Saarbrücken,12.6,9.0,3.6,28.57
5111, Düsseldorf,12.1,8.6,3.5,28.93
5120, Remscheid,11.3,8.0,3.3,29.20
14626, Görlitz,15.4,10.9,4.5,29.22
14612, Dresden,11.6,8.2,3.4,29.31
14625, Bautzen,11.6,8.2,3.4,29.31
5112, Duisburg,17.4,12.3,5.1,29.31
5358, Düren,10.5,7.4,3.1,29.52
5314, Bonn,9.1,6.4,2.7,29.67
15089, Salzlandkreis,15.5,10.9,4.6,29.68
15087, Mansfeld-Südharz,18.6,13.0,5.6,30.11
5170, Wesel,9.9,6.9,3.0,30.30
3461, Wesermarsch,10.2,7.1,3.1,30.39
15091, Wittenberg,13.8,9.6,4.2,30.43
15002, Halle (Saale),16.7,11.6,5.1,30.54
5166, Viersen,8.8,6.1,2.7,30.68
5913, Dortmund,17.9,12.4,5.5,30.73
5916, Herne,18.0,12.4,5.6,31.11
5915, Hamm,13.8,9.5,4.3,31.16
3405, Wilhelmshaven,17.0,11.7,5.3,31.18
5978, Unna,13.1,9.0,4.1,31.30
15083, Börde,10.2,7.0,3.2,31.37
14628, Sächs. Schweiz -Osterzgebirge,10.5,7.2,3.3,31.43
5382, Rhein-Sieg-Kreis,7.9,5.4,2.5,31.65
5124, Wuppertal,15.1,10.3,4.8,31.79
6412, Frankfurt am Main,10.6,7.2,3.4,32.08
15090, Stendal,17.4,11.8,5.6,32.18
6413, Offenbach am Main,15.2,10.3,4.9,32.24
6436, Main-Taunus-Kreis,6.2,4.2,2.0,32.26
5315, Köln,13.6,9.2,4.4,32.35
14522, Mittelsachsen,10.8,7.3,3.5,32.41
4011, Bremen,14.8,10.0,4.8,32.43
1004, Neumünster,15.3,10.3,5.0,32.68
